Company,Yahoo Listed Co.,Symbol,Exchange,Market Cap,Company Size,Is American,Home URL,Press Release URL
AstraZeneca,AstraZeneca PLC,AZN,NYSE,"$137,820,618,752",v-large,Y,http://www.astrazeneca.com,https://www.astrazeneca.com/media-centre/press-releases.html
CanSino Biological Inc.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Beijing Institute of Biotechnology,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Moderna,"Moderna, Inc.",MRNA,OTC Markets,"$22,789,441,536",medium,N,http://www.modernatx.com,https://investors.modernatx.com/news-releases/
NIAID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wuhan Institute of Biological Products,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Sinopharm,"Sinopharm Group Co., Ltd.",SHTDY,OTC Markets,"$7,988,157,440",small,N,http://www.sinopharmgroup.com.cn,http://ir.sinopharmgroup.com.cn/
Beijing Institute of Biological Products,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Sinopharm,"Sinopharm Group Co., Ltd.",SHTDY,OTC Markets,"$7,988,157,440",small,N,http://www.sinopharmgroup.com.cn,http://ir.sinopharmgroup.com.cn/
Sinovac,Sinovac Biotech Ltd.,SVA,NASDAQ,"$460,249,280",small,Y,http://www.sinovacbio.com,http://www.sinovacbio.com/?optionid=754
Novavax,"Novavax, Inc.",NVAX,NASDAQ,"$4,599,075,328",small,Y,http://www.novavax.com,https://ir.novavax.com/press-releases
BioNTech,BioNTech SE,BNTX,NASDAQ,"$15,584,321,536",medium,Y,http://www.biontech.de,https://investors.biontech.de/press-releases/
Fosun Pharma,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",SFOSF,OTC Markets,"$11,671,968,768",medium,N,http://www.fosunpharma.com,https://www.fosunpharma.com/en/news/mediaReports.html
Pfizer,Pfizer Inc.,PFE,NYSE,"$190,891,737,088",v-large,Y,http://www.pfizer.com,https://www.pfizer.com/news/press-release/press-releases-archive
Inovio Pharmaceuticals,"Inovio Pharmaceuticals, Inc.",INO,NASDAQ,"$3,451,583,232",small,Y,http://www.inovio.com,http://ir.inovio.com/news-releases/default.aspx
Genexine Consortium,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Gamaleya Research Institute,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Clover Biopharmaceuticals Inc.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
GSK,GlaxoSmithKline plc,GSK,NYSE,"$101,837,987,840",v-large,Y,http://www.gsk.com,https://www.gsk.com/en-gb/media/press-releases/
Dynavax,Dynavax Technologies Corporation,DVAX,NASDAQ,"$899,198,976",small,Y,http://www.dynavax.com,http://investors.dynavax.com/press-releases
Anhui Zhifei Longcom Biopharmaceutical,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Curevac,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Walvax Biotech.,"Walvax Biotechnology Co., Ltd.",300142.SZ,Shenzhen,"$81,315,201,024",v-large,N,http://www.walvax.com,n
